client,site,"date
scans",control photoscan,accuracy cameras,camera model,resolution,number of photos,"Average camera location error, cm","fact accuracy in photoscans,cm",image overlap,fractional dem-diff,fractional dd colours,volume control,monitoring area,result,
independent-construction,russell-ranch,2018-07-03,,10.00,FC350 (3.61 mm),4000 x 3000,714,401,11.7,,,,,,acceptable,18 minutes 51 seconds
fivepoint,mission-village,2018-07-03,,10.00,FC350 (3.61 mm),4000 x 3000,2294,554,4.3,,,,,,bad,1 hours 15 minutes
independent-construction,skyline,2018-07-05,,10.00,FC350 (3.61 mm),4000 x 3000,1292,539,6.7,,,,,,good,38 minutes 21 seconds
landsea,sanctuary,2018-07-03,,-,FC6310 (8.8 mm),4864 x 3648,222,633,5.1,,,,,,acceptable,3 minutes 25 seconds
independent-construction,river-islands,2018-07-05,,-,FC350 (3.61 mm),4000 x 3000,944,525,11.3,,,,,,good,40 minutes 40 seconds
stice,d5-ph-1-grading,2018-07-05,,-,FC350 (3.61 mm),4000 x 3000,1567,595,6.2,,,,,,good,1 hours 11 minutes
sitelens,delaney-cove,2018-07-03,,-,FC6310 (8.8 mm),5472 x 3648,824,314,2.5,,,,,,acceptable,25 minutes 30 seconds
fivepoint,mission-village,2018-07-09,,-,FC350 (3.61 mm),4000 x 3000,2311,534,4.2,,,,,,good,1 hours 14 minutes
independent-construction,wilder-orinda,2018-07-10,,-,FC350 (3.61 mm),4000 x 3000,122,392,3.2,,,,,,good,1 minutes 13 seconds
independent-construction,russell-ranch,2018-07-10,,-,FC350 (3.61 mm),4000 x 3000,712,454,12.6,,,,,,acceptable,15 minutes 10 seconds
independent-construction,faria-ranch,2018-07-10,,-,FC350 (3.61 mm),4000 x 3000,386,428,10.2,,,,,,good,8 minutes 18 seconds
landsea,sanctuary,2018-07-10,,-,FC6310 (8.8 mm),4864 x 3648,222,600,3.7,,,,,,acceptable,4 minutes 16 seconds
independent-construction,skyline,2018-07-12,good,-,FC350 (3.61 mm),4000 x 3000,1147,555,7.3,good overlapping,normal,,,,good,36 minutes 44 seconds
independent-construction,faria-ranch,2018-07-12,,-,FC350 (3.61 mm),4000 x 3000,523,456,8.4,,,,,,bad,12 minutes 15 seconds
fivepoint,district-5,2018-07-14,,-,FC350 (3.61 mm),4000 x 3000,1538,622,6.8,,,,,,good,56 minutes 2 seconds
fivepoint,mission-village,2018-07-16,good,-,FC350 (3.61 mm),4000 x 3000,2281,506,4.2,good overlapping,normal,,normal,,good,1 hours 4 minutes
lennar,lafayette,2018-07-16,,-,FC350 (3.61 mm),4000 x 3000,72,238,6.0,,,,,,acceptable,57 seconds
independent-construction,gilbert-property-phase-1,2018-07-16,,-,FC350 (3.61 mm),4000 x 3000,446,422,10.8,,,,,,good,16 minutes 35 seconds
independent-construction,russell-ranch,2018-07-17,good,-,FC350 (3.61 mm),4000 x 3000,710,427,13.2,good overlapping,normal,,normal,,acceptable,16 minutes 31 seconds
sitelens,bear-creek,2018-07-17,,-,FC220 (4.73 mm),4000 x 3000,226,857,8.3,,,,,,acceptable,7 minutes 7 seconds
independent-construction,wilder-orinda,2018-07-18,good,-,FC350 (3.61 mm),4000 x 3000,117,300,4.5,good overlapping,normal,,normal,,good,1 minutes 3 seconds
independent-construction,river-islands,2018-07-24,bad,-,FC350 (3.61 mm),4000 x 3000,943,535,9.9,good overlapping,bad,,bad,,bad,37 minutes 52 seconds
independent-construction,skyline,2018-07-19,good,-,FC350 (3.61 mm),4000 x 3000,1257,524,7.5,good overlapping,bad slopes,,strange,,good,43 minutes 16 seconds
landsea,sanctuary,2018-07-19,good,-,-,-,-,-,-,problematic overlap,-,,-,,bad,-
landsea,sanctuary,2018-07-20,good,-,-,-,-,-,-,problematic overlap,-,,-,,bad,-
lennar,lafayette,2018-07-23,good,-,FC350 (3.61 mm),4000 x 3000,71,438,6.1,>9,good,,good,,good,47 seconds
fivepoint,mission-village,2018-07-24,normal,-,FC350 (3.61 mm),4000 x 3000,2768,521,5.6,good overlapping,normal,,good,,acceptable,1 hours 40 minutes
independent-construction,russell-ranch,2018-07-24,good,-,FC350 (3.61 mm),4000 x 3000,714,415,8.0,>9,orange,,good,,good,22 minutes 30 seconds
lennar,innovation-village,2018-07-20,good,-,FC350 (3.61 mm),4000 x 3000,367,399,6.0,>9,normal,,good,,good,11 minutes 42 seconds
independent-construction,river-islands,2018-07-24,,-,FC350 (3.61 mm),4000 x 3000,943,535,9.9,,,,,,good,37 minutes 52 seconds
